ID,TP,TN,FP,FN,RECALL,PRECISION,R0,R1,R2,R3,R4,R5,R6,R7,P0,P1,P2,P3,P4,P5,P6,P7
1,2,41,6,3,0.4,0.25,0,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0,0.5,0.33333334,0.5,0.4,0.33333334,0.2857143,0.25
2,0,41,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,39,7,5,0.16666667,0.125,0,0,0,0,0.16666667,0.16666667,0.16666667,0.16666667,0,0,0,0,0.2,0.16666667,0.14285715,0.125
4,1,33,7,11,0.083333336,0.125,0,0,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0.083333336,0,0,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
5,0,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,43,6,1,0.6666667,0.25,0,0.33333334,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0,0.5,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
7,6,22,2,22,0.21428572,0.75,0.035714287,0.071428575,0.10714286,0.10714286,0.10714286,0.14285715,0.17857143,0.21428572,1,1,1,0.75,0.6,0.6666667,0.71428573,0.75
8,1,42,7,2,0.33333334,0.125,0,0,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0,0,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
9,2,37,6,7,0.22222222,0.25,0,0,0,0.11111111,0.22222222,0.22222222,0.22222222,0.22222222,0,0,0,0.25,0.4,0.33333334,0.2857143,0.25
10,8,17,0,27,0.22857143,1,0.028571429,0.057142857,0.08571429,0.114285715,0.14285715,0.17142858,0.2,0.22857143,1,1,1,1,1,1,1,1
11,6,31,2,13,0.31578946,0.75,0.05263158,0.05263158,0.10526316,0.15789473,0.21052632,0.2631579,0.31578946,0.31578946,1,0.5,0.6666667,0.75,0.8,0.8333333,0.85714287,0.75
12,2,41,6,3,0.4,0.25,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,1,0.5,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
13,2,35,6,9,0.18181819,0.25,0,0.09090909,0.09090909,0.09090909,0.09090909,0.18181819,0.18181819,0.18181819,0,0.5,0.33333334,0.25,0.2,0.33333334,0.2857143,0.25
14,2,2,6,42,0.045454547,0.25,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.045454547,0.045454547,1,0.5,0.33333334,0.25,0.2,0.16666667,0.2857143,0.25
15,2,36,6,8,0.2,0.25,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0,0.5,0.33333334,0.25,0.2,0.16666667,0.2857143,0.25
16,2,29,6,15,0.11764706,0.25,0,0.05882353,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,0,0.5,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
17,2,30,6,14,0.125,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.125,1,0.5,0.33333334,0.25,0.2,0.33333334,0.2857143,0.25
18,2,35,6,9,0.18181819,0.25,0.09090909,0.09090909,0.09090909,0.09090909,0.18181819,0.18181819,0.18181819,0.18181819,1,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
19,6,39,2,5,0.54545456,0.75,0.09090909,0.18181819,0.27272728,0.36363637,0.45454547,0.45454547,0.54545456,0.54545456,1,1,1,1,1,0.8333333,0.85714287,0.75
20,2,43,6,1,0.6666667,0.25,0.33333334,0.33333334,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1,0.5,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
21,3,36,5,8,0.27272728,0.375,0,0.09090909,0.09090909,0.09090909,0.18181819,0.18181819,0.18181819,0.27272728,0,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.375
22,5,32,3,12,0.29411766,0.625,0,0.05882353,0.11764706,0.11764706,0.1764706,0.1764706,0.23529412,0.29411766,0,0.5,0.6666667,0.5,0.6,0.5,0.5714286,0.625
23,2,42,6,2,0.5,0.25,0,0,0,0.25,0.25,0.25,0.5,0.5,0,0,0,0.25,0.2,0.16666667,0.2857143,0.25
24,1,32,7,12,0.07692308,0.125,0.07692308,0.07692308,0.07692308,0.07692308,0.07692308,0.07692308,0.07692308,0.07692308,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
25,6,-1,2,45,0.11764706,0.75,0.019607844,0.039215688,0.05882353,0.05882353,0.078431375,0.09803922,0.09803922,0.11764706,1,1,1,0.75,0.8,0.8333333,0.71428573,0.75
26,5,19,3,25,0.16666667,0.625,0.033333335,0.06666667,0.1,0.13333334,0.16666667,0.16666667,0.16666667,0.16666667,1,1,1,1,1,0.8333333,0.71428573,0.625
27,4,19,4,25,0.13793103,0.5,0,0,0.03448276,0.06896552,0.10344828,0.10344828,0.13793103,0.13793103,0,0,0.33333334,0.5,0.6,0.5,0.5714286,0.5
28,4,43,4,1,0.8,0.5,0.2,0.4,0.6,0.8,0.8,0.8,0.8,0.8,1,1,1,1,0.8,0.6666667,0.5714286,0.5
29,3,28,5,16,0.15789473,0.375,0.05263158,0.10526316,0.10526316,0.10526316,0.10526316,0.10526316,0.15789473,0.15789473,1,1,0.6666667,0.5,0.4,0.33333334,0.42857143,0.375
30,2,42,6,2,0.5,0.25,0,0,0.25,0.25,0.5,0.5,0.5,0.5,0,0,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
