ID,TP,TN,FP,FN,RECALL,PRECISION,R0,R1,R2,R3,R4,R5,R6,R7,P0,P1,P2,P3,P4,P5,P6,P7
1,2,41,6,3,0.4,0.25,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,1,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
2,3,44,5,0,1,0.375,0,0,0,0,0,0.33333334,0.6666667,1,0,0,0,0,0,0.16666667,0.2857143,0.375
3,0,38,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,34,6,10,0.16666667,0.25,0,0,0,0,0,0,0.083333336,0.16666667,0,0,0,0,0,0,0.14285715,0.25
5,0,36,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,43,6,1,0.6666667,0.25,0,0,0,0,0.33333334,0.6666667,0.6666667,0.6666667,0,0,0,0,0.2,0.33333334,0.2857143,0.25
7,4,20,4,24,0.14285715,0.5,0.035714287,0.071428575,0.10714286,0.10714286,0.10714286,0.14285715,0.14285715,0.14285715,1,1,1,0.75,0.6,0.6666667,0.5714286,0.5
8,2,43,6,1,0.6666667,0.25,0,0,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.6666667,0,0,0.33333334,0.25,0.2,0.33333334,0.2857143,0.25
9,2,37,6,7,0.22222222,0.25,0,0,0,0,0,0.11111111,0.22222222,0.22222222,0,0,0,0,0,0.16666667,0.2857143,0.25
10,8,17,0,27,0.22857143,1,0.028571429,0.057142857,0.08571429,0.114285715,0.14285715,0.17142858,0.2,0.22857143,1,1,1,1,1,1,1,1
11,6,31,2,13,0.31578946,0.75,0.05263158,0.10526316,0.15789473,0.15789473,0.15789473,0.21052632,0.2631579,0.31578946,1,1,1,0.75,0.6,0.6666667,0.71428573,0.75
12,2,41,6,3,0.4,0.25,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
13,2,35,6,9,0.18181819,0.25,0.09090909,0.09090909,0.09090909,0.18181819,0.18181819,0.18181819,0.18181819,0.18181819,1,0.5,0.33333334,0.5,0.4,0.33333334,0.2857143,0.25
14,4,4,4,40,0.09090909,0.5,0.022727273,0.022727273,0.045454547,0.06818182,0.09090909,0.09090909,0.09090909,0.09090909,1,0.5,0.6666667,0.75,0.8,0.6666667,0.5714286,0.5
15,2,36,6,8,0.2,0.25,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.25
16,2,29,6,15,0.11764706,0.25,0.05882353,0.05882353,0.05882353,0.11764706,0.11764706,0.11764706,0.11764706,0.11764706,1,0.5,0.33333334,0.5,0.4,0.33333334,0.2857143,0.25
17,2,30,6,14,0.125,0.25,0,0.0625,0.125,0.125,0.125,0.125,0.125,0.125,0,0.5,0.6666667,0.5,0.4,0.33333334,0.2857143,0.25
18,1,34,7,10,0.09090909,0.125,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,0.09090909,1,0.5,0.33333334,0.25,0.2,0.16666667,0.14285715,0.125
19,7,40,1,4,0.6363636,0.875,0.09090909,0.18181819,0.27272728,0.36363637,0.45454547,0.45454547,0.54545456,0.6363636,1,1,1,1,1,0.8333333,0.85714287,0.875
20,2,43,6,1,0.6666667,0.25,0.33333334,0.33333334,0.33333334,0.33333334,0.6666667,0.6666667,0.6666667,0.6666667,1,0.5,0.33333334,0.25,0.4,0.33333334,0.2857143,0.25
